map_id,map_size,algorithm,time,length,map_string
6,8,DFS,0.027468204498291016,201,[1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 1;1 0 2 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1]
6,8,BFS,0.020808935165405273,11,[1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 1;1 0 2 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1]
7,8,A*,0.006055355072021484,11,[1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 1;1 0 2 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1]
7,8,DFS,0.021059274673461914,201,[1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 1;1 0 2 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1]
7,8,BFS,0.021654844284057617,11,[1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 1;1 0 2 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 0 1;1 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1]
8,9,A*,0.007169485092163086,13,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
8,9,DFS,0.04844307899475098,399,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
8,9,BFS,0.045706987380981445,13,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
9,9,A*,0.005352973937988281,13,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
9,9,DFS,0.03759002685546875,399,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
9,9,BFS,0.04533720016479492,13,[1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1]
10,10,A*,0.0068340301513671875,15,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
10,10,DFS,0.09899020195007324,567,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
10,10,BFS,0.056853532791137695,15,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
11,10,A*,0.005828857421875,15,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
11,10,DFS,0.05936717987060547,567,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
11,10,BFS,0.06145191192626953,15,[1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1]
12,11,A*,0.011464834213256836,17,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
12,11,DFS,0.11675810813903809,955,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
12,11,BFS,0.13330078125,17,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
13,11,A*,0.02347564697265625,17,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
13,11,DFS,0.12757611274719238,955,[1 1 1 1 1 1 1 1 1 1 1;1 5 0 0 0 0 0 0 0 0 1;1 0 2 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 0 1;1 0 0 0 0 0 0 0 0 3 1;1 1 1 1 1 1 1 1 1 1 1]
